Portfolio,Agency,Tier,Project name,Project description,DCA 2026,DCA 2025,DCA 2024,Delivery status,Total budget (millions),Digital budget (millions),Project start date,Project end date
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 1,Digital Services to Take Farmers to Markets (TFTM),"The TFTM program is transforming Australia’s agricultural export systems with the delivery of contemporary digital products and services for trade and exporter engagement. Tranche 1 established the foundations for the digital reforms by uplifting existing systems onto modern and reliable platforms and developing new digital services. Tranche 2 builds on the capabilities delivered in Tranche 1 by delivering a dynamic program of work that enables the department to be a risk-based, data-enabled regulator. ",Medium-High,Medium-Low,Medium-High,Active,322.9,322.9,October 2020,June 2026
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 2,"Capital Security, Technology, and Asset Refresh (CapSTAR)","The CapSTAR program aims to refresh and maintain essential property and ICT assets, reduce risk in service delivery and ensure critical business systems are supported, patched and resilient. The outcome will be a sustainable and efficient technology and physical infrastructure portfolio, through reduced technical debt and increased physical and cyber maturity.",Medium-High,Medium-High,,Active,287.9,201.2,July 2024,June 2028
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 2,Simplified Targeting and Enhanced Processing Systems (STEPS),"The STEPS program will transform the border process for cargo importers who depend on the department to mitigate and regulate biosecurity risk in a challenging global marketplace.
At the time of preparing this report, this project is subject to the escalation protocols set out in the Assurance Framework for Digital and ICT Investments. These protocols are designed to support agencies in the timely resolution of delivery challenges.",Medium,Medium-Low,Medium,Active,144.9,144.9,July 2023,June 2026
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 2,Supporting a Stronger and More Sustainable Agriculture Sector,"This project aims to uplift the ICT, data and statistical systems’ capabilities to meet the department’s needs. This will improve the accessibility of agricultural data and information, improve and remediate survey processing systems, rebuild geospatial infrastructure, and gather requirements on future capabilities necessary to transform and enable agricultural data and information products to suit changing needs.",Medium-High,Medium-High,Not reported,Active,9.5,9.5,July 2023,June 2026
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 3,Climate Services for Agriculture (CSA) Program,"The CSA Program aims to build drought resilience by enabling users to anticipate future climate conditions, compare those conditions with historical climate records, and consider potential impacts on the food and fibre products they produce. CSA provides climate projections for specific commodities at a local scale via a free online platform, ‘My Climate View’.",,,,Active,22.0,11.5,July 2025,July 2028
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 3,Knowledge Management (Dorper2),"This project aims to make the knowledge generated by the Future Drought Fund (FDF) more accessible, and promote wider adoption through a systematic and strategic approach. It will develop a knowledge management system (Dorper2) to collect and store FDF knowledge, such as program outputs and outcomes, project data and information, and contract management information.",,,,Active,7.6,7.6,April 2025,June 2028
Attorney-General's,Administrative Review Tribunal,Tier 2,Case Management Solution (CMS) Program ,"This project will establish a new single case management system for the Administrative Review Tribunal (ART), replacing multiple outdated legacy systems that the ART currently relies on. The new, whole-of-agency case management system will improve ART users' digital experience and staff productivity to support the ART’s statutory objectives.
",Medium-Low,Medium-High,Not reported,Active,29.6,29.6,January 2022,June 2027
Attorney-General's,Attorney-General’s Department,Tier 3,Secure Court Information Management System (SCIMS),"The Australian Government requires the development and delivery of a digital, remote-access court information management system that is secure, accredited and highly available. SCIMS is necessary to support the electronic presentation and protection of classified material (up to and including SECRET) for legal matters that deal with national security information materials in the lead up to, and during court proceedings.",,,,Active,15.1,15.1,July 2024,June 2028
Attorney-General's,Commonwealth Director of Public Prosecutions,Tier 3,"Evidence Management Modernisation Program (EMM or EMMP), formerly Digital Litigation Solutions ",This investment is modernising how digital evidentiary material is managed by the Office of the Director of Public Prosecutions (Commonwealth) by introducing a digital solution and establishing an internal digital evidence capability to more effectively manage large volumes of digital evidence. This involves transitioning from legacy systems and establishing optimum support arrangements for an efficient prosecution service.,,,,Closed,22.7,3.6,January 2023,June 2025
"Climate Change, Energy, the Environment and Water",Australian Energy Regulator,Tier 2,Contract Market Monitoring,"The project aims to collect, store and analyse highly sensitive energy contracts data and provide insights into the performance of the wholesale electricity and gas markets, greater scrutiny of the conduct of the energy market participants, and broader understanding of the operation and impact of contract markets and overall resilience of the electricity and gas sectors.",Medium-Low,Medium,,Active,26.0,7.8,July 2024,June 2026
